,Name,University,Sport,Sponsors
0,Ty Shannon,University of North Dakota,Football,Barstool Sports
1,Conner Dearden,Utah Valley University,Soccer,Barstool Sports
2,Lindsey Theuninck,South Dakota State University,Basketball,Barstool Sports
3,Elise Walker,University of Michigan,Water Polo,Barstool Sports
4,Anthony Kyle,University of Findlay,Baseball,Barstool Sports
5,Luciana Zullo,University of South Carolina,Soccer,Barstool Sports
6,Preston Weeks,Stephen F. Austin State University,Football,Barstool Sports
7,Kennedy Evans,"University of Maryland, Baltimore County",Lacrosse,Barstool Sports
8,Danny Caracciolo,University of Virginia,Football,Barstool Sports
9,Abby Thoms,University of Iowa,Rowing,Barstool Sports
10,Sami Derrico,Manhattan College,Soccer,Barstool Sports
11,Austin Reeves,Appalachian State University,Football,Barstool Sports
12,Brianna Mulcahy,Iona College,Swimming and Diving,Barstool Sports
13,Michael Walsh,Lafayette College,Golf,Barstool Sports
14,Issaih Agnew-Beatty,University of Massachusetts Amherst,Football,Barstool Sports
15,Jessica De Filippo,University of Arkansas,Soccer,Barstool Sports
16,Ethan Rall,Rutgers University,Lacrosse,Barstool Sports
17,Jono Santos,Fairfield University,Baseball,Barstool Sports
18,Brady Ferner,University of North Dakota,Ice Hockey,Barstool Sports
19,Tori Accardo,University of Cincinnati,Lacrosse,Barstool Sports
0,Zachary Collins,University of Findlay,Wrestling,Barstool Sports
1,Gabe Lux,Oakland University,Baseball,Barstool Sports
2,Owen Langan,Northeastern University,Baseball,Barstool Sports
3,Zane Coleman,Arizona State University,Wrestling,Barstool Sports
4,Chris Lanzilli,Wake Forest University,Baseball,Barstool Sports
5,Tommy Lutter,University of Delaware,Swimming and Diving,Barstool Sports
6,Mikhail Kidd,Utah State University,Track and Field,Barstool Sports
7,Jack Olsen,Northwestern University,Football,Barstool Sports
8,Claire Leach,University of North Dakota,Track and Field,Barstool Sports
9,Martina Asciuto,Seattle University,Tennis,Barstool Sports
10,Trevor Barrett,Robert Morris University,Lacrosse,Barstool Sports
11,Megan Brockbank,University of Massachusetts Lowell,Lacrosse,Barstool Sports
12,Justin Tiernan,Lehigh University,Lacrosse,Barstool Sports
13,Cole Williamson,Murray State University,Football,Barstool Sports
14,Kyle Johnson,College of the Holy Cross,Baseball,Barstool Sports
15,Hayden White,Louisiana State University,Golf,Barstool Sports
16,Terry O'Connor,Michigan State University,Football,Barstool Sports
17,Noah Hughes,Butler University,Football,Barstool Sports
18,Ryan Forrest,University of Massachusetts Lowell,Cross Country,Barstool Sports
19,Brooke Nelson,University of Washington,Softball,Barstool Sports
0,Carson Wells,University of Colorado Boulder,Football,Barstool Sports
1,Kyle Greenwell,University of Alabama at Birmingham,Football,Barstool Sports
2,Wade Elliott,Louisiana Tech University,Baseball,Barstool Sports
3,Julia Nearis,Boston University,Ice Hockey,Barstool Sports
4,Jacob Bernard,University of Louisiana at Lafayette,Football,Barstool Sports
5,Lauren Hollis,Marshall University,Soccer,Barstool Sports
6,Claudia Satzke,University of South Carolina,Cross Country,Barstool Sports
7,Danny Orgler,Butler University,Football,Barstool Sports
8,Casey O'Brien,University of WisconsinâMadison,Ice Hockey,Barstool Sports
9,Seth Taylor,Coastal Carolina University,Golf,Barstool Sports
10,Chase Carraway,Hobart and William Smith College,Sailing,Barstool Sports
11,Jordan Holly,Murray State University,Baseball,Barstool Sports
12,Mason Richman,University of Iowa,Football,Barstool Sports
13,Samantha Chapps,Southern New Hampshire University,Basketball,Barstool Sports
14,David Missry,Lehigh University,Tennis,Barstool Sports
15,KK Callaghan,Butler University,Lacrosse,Barstool Sports
16,Wilson Beaverstock,University of Alabama at Birmingham,Football,Barstool Sports
17,Tavian Tumbleson,Abilene Christian University,Football,Barstool Sports
18,Jay Larosa,University of Massachusetts Amherst,Football,Barstool Sports
19,Paxton Cottrell,Wofford College,Football,Barstool Sports
0,Joe Buck,Georgetown University,Soccer,Barstool Sports
1,Sophia Miller,Liberty University,Swimming and Diving,Barstool Sports
2,Braeden O'Shaughnessy,Youngstown State University,Baseball,Barstool Sports
3,Mateo Boudourian,Pennsylvania State University,Track and Field,Barstool Sports
4,Katie Anderson,University of Michigan,Field Hockey,Barstool Sports
5,Christopher Toudle,North Carolina State University,Football,Barstool Sports
6,Lauren Bowers,Florida Institute of Technology,Swimming and Diving,Barstool Sports
7,Gavin Clements,Middle Tennessee State University,Golf,Barstool Sports
8,Aidan Riley,University of Delaware,Baseball,Barstool Sports
9,Matthew Sollenberger,University of Dayton,Cross Country,Barstool Sports
10,Taylor Sharrits,University of Akron,Volleyball,Barstool Sports
11,Jackson Naylor,Canisius College,Lacrosse,Barstool Sports
12,Taytum Geier,St. Cloud State University,Ice Hockey,Barstool Sports
13,Matt Hoelke,Rider University,Wrestling,Barstool Sports
14,Kyle Westfall,New Mexico State University,Baseball,Barstool Sports
15,Jordan Jones,Cornell University,Basketball,Barstool Sports
16,Jenna Diebert,Winthrop University,Lacrosse,Barstool Sports
17,Drew Woodley,Iowa State University,Wrestling,Barstool Sports
18,Ryan Wilcox,"University of California, Santa Barbara",Volleyball,Barstool Sports
19,Kyle Elias,"University of Nevada, Reno",Cross Country,Barstool Sports
0,Alexia Inman,Santa Clara University,Beach Volleyball,Barstool Sports
1,Gavin Grant,University of Oregon,Baseball,Barstool Sports
2,Owen Spencer,The Citadel,Basketball,Barstool Sports
3,Gabi Haack,Bradley University,Basketball,Barstool Sports
4,Ian Fitzpatrick,Boston College,Swimming and Diving,Barstool Sports
5,Myrthe Maring,Florida International University,Volleyball,Barstool Sports
6,Cole Anderson,"University of California, Santa Barbara",Basketball,Barstool Sports
7,Delaney Couture,Providence College,Ice Hockey,Barstool Sports
8,Boston Merila,University of Minnesota,Baseball,Barstool Sports
9,Maxine Paholek,Boise State University,Cross Country,Barstool Sports
10,Owen Wiebe,University of San Diego,Soccer,Barstool Sports
11,Justin Gabbard,Xavier University,Golf,Barstool Sports
12,Ajare Sanni,"University of California, Santa Barbara",Basketball,Barstool Sports
13,Artem Shlaine,University of Connecticut,Ice Hockey,Barstool Sports
14,Michaela Herwig,Purdue University,Swimming and Diving,Barstool Sports
15,Jonah Cey,Pennsylvania State University,Swimming and Diving,Barstool Sports
16,Jake Lazzaro,Liberty University,Baseball,Barstool Sports
17,Jake Andrey,Rider University,Baseball,Barstool Sports
18,Amber Stieve,Old Dominion University,Lacrosse,Barstool Sports
19,Logan Zapp,University of North Carolina at Chapel Hill,Tennis,Barstool Sports
0,Courtney Wristen,University of San Diego,Basketball,Barstool Sports
1,AJ Calabro,Syracuse University,Football,Barstool Sports
2,Nolan Rumler,University of Michigan,Football,Barstool Sports
3,Aly Manzo,University of Arkansas,Softball,Barstool Sports
4,Jilly Shimkin,Pennsylvania State University,Soccer,Barstool Sports
5,Anthony Gubitosi,University of Delaware,Baseball,Barstool Sports
6,Brice Gilman,Hanover College,Basketball,Barstool Sports
7,Joey Nicolai,"University of California, Riverside",Baseball,Barstool Sports
8,Triston Lara,University of Northern Iowa,Wrestling,Barstool Sports
9,Cameron Isabelle,Eastern Michigan University,Ice Hockey,Barstool Sports
10,Abbie Shaw,Liberty University,Swimming and Diving,Barstool Sports
11,Fletcher Abee,The Citadel,Basketball,Barstool Sports
12,Andrew Palmiter,Lindenwood University,Ice Hockey,Barstool Sports
13,Nicholas Rieple,Pennsylvania State University,Soccer,Barstool Sports
14,Noa Levy,Lehigh University,Track and Field,Barstool Sports
15,Riley Ennis,Florida Atlantic University,Softball,Barstool Sports
16,Jack Snyder,Mount Saint Mary College,Golf,Barstool Sports
17,Karly van Leer,University of Colorado Boulder,Lacrosse,Barstool Sports
18,Dayne Davis,University of Tennessee,Football,Barstool Sports
19,Katie Hinkle,Long Island University,Softball,Barstool Sports
0,Bridget Soraghan,Merrimack College,Softball,Barstool Sports
1,Andy Carlson,Boston University,Swimming and Diving,Barstool Sports
2,Dejoun Lee,University of Delaware,Football,Barstool Sports
3,Josh Van Bramer,Alfred State College,Baseball,Barstool Sports
4,Nan Garcia,University of Toledo,Basketball,Barstool Sports
5,Chase Hindmarsh,University of Utah,Swimming and Diving,Barstool Sports
6,Nick Taylor,University of Central Florida,Soccer,Barstool Sports
7,Sam Choi,University of New Mexico,Golf,Barstool Sports
8,Joe Rondi,Syracuse University,Football,Barstool Sports
9,Peyton Carr,High Point University,Baseball,Barstool Sports
10,Patrick Coyle,Towson University,Football,Barstool Sports
11,Ciera Fowler,Sacred Heart University,Field Hockey,Barstool Sports
12,Emma Clark,University of Notre Dame,Softball,Barstool Sports
13,Kendall Mansukhani,Baylor University,Cross Country,Barstool Sports
14,Tori Gilbert,University of Virginia,Softball,Barstool Sports
15,Allison Oestreicher,University of Vermont,Soccer,Barstool Sports
16,Jack Todd,University of Minnesota,Football,Barstool Sports
17,Candace Yingling,"University of California, Berkeley",Softball,Barstool Sports
18,Eliud Kipsang,University of Alabama,Cross Country,Barstool Sports
19,Alex Madrigal,George Mason University,Wrestling,Barstool Sports
0,Cassie Giddings,University of North Dakota,Soccer,Barstool Sports
1,Will Knight,Virginia Military Institute,Baseball,Barstool Sports
2,Elijah Smith,University of Dayton,Football,Barstool Sports
3,Sebastian Paz,Bucknell University,Soccer,Barstool Sports
4,Brendan Jones,Kansas State University,Baseball,Barstool Sports
5,Lincoln Ransom,Old Dominion University,Baseball,Barstool Sports
6,Tyler Drew,University of NebraskaâLincoln,Track and Field,Barstool Sports
7,Jack Kenyon,Gettysburg College,Cross Country,Barstool Sports
8,Joseph Dimino,New Jersey Institute of Technology,Baseball,Barstool Sports
9,Jack Nolan,Drexel University,Lacrosse,Barstool Sports
10,J.D. Brock,Clemson University,Baseball,Barstool Sports
11,Kaitlyn Govea,Siena College,Softball,Barstool Sports
12,Sean Kelly Darks,North Carolina Agricultural and Technical State University,Basketball,Barstool Sports
13,Austin DaSilva,"University at Albany, SUNY",Soccer,Barstool Sports
14,Mateo Vandamia,University of Delaware,Football,Barstool Sports
15,Jada Habisch,University of Connecticut,Ice Hockey,Barstool Sports
16,Jim Jarvis,University of Alabama,Baseball,Barstool Sports
17,Autumn DeSantis,Jacksonville University,Volleyball,Barstool Sports
18,Cooper Prue,Michigan State University,Swimming and Diving,Barstool Sports
19,Preston Cameron,University of Southern Indiana,Tennis,Barstool Sports
0,Cintia Khouzami,Merrimack College,Track and Field,Barstool Sports
1,Dylan McFadden,Lehigh University,Football,Barstool Sports
2,Katelyn Bliesner,New Jersey Institute of Technology,Volleyball,Barstool Sports
3,Sally Rainey,University of New Hampshire,Soccer,Barstool Sports
4,Coby Ingle,North Carolina State University,Baseball,Barstool Sports
5,Shawn Rapp,University of North Carolina at Chapel Hill,Baseball,Barstool Sports
6,Sara James,University of Rhode Island,Track and Field,Barstool Sports
7,Caleb Johnson,University of North Texas,Football,Barstool Sports
8,Miles Cramer,Miami University,Lacrosse,Barstool Sports
9,Ethan Dang,Stanford University,Swimming and Diving,Barstool Sports
10,Gabby Mahaffey,University of Akron,Lacrosse,Barstool Sports
11,Ryan Lee,Boston University,Soccer,Barstool Sports
12,Mary Shroll,Loyola Marymount University,Volleyball,Barstool Sports
13,Ryan McCoy,Montclair State University,Lacrosse,Barstool Sports
14,Krista Peterson,University of Hawaii at Manoa,Soccer,Barstool Sports
15,Katarina Baehren,Sam Houston State University,Soccer,Barstool Sports
16,Gavin Gulash,Robert Morris University,Ice Hockey,Barstool Sports
17,Shane McDonough,Towson University,Football,Barstool Sports
18,Taylor Curcio,Long Island University,Soccer,Barstool Sports
19,Daniel Worth,University of Virginia,Swimming and Diving,Barstool Sports
0,Brendan Pulley,University of Vermont,Soccer,Barstool Sports
1,Kaden Bohlsen,University of Nebraska Omaha,Ice Hockey,Barstool Sports
2,Sean Connolly,University of Rhode Island,Football,Barstool Sports
3,Andrew Cooke,Colgate University,Soccer,Barstool Sports
4,Mark Tucker,University of North Georgia,Baseball,Barstool Sports
5,Trent Buttrick,University of Massachusetts Amherst,Basketball,Barstool Sports
6,Cole Frederick,Jacksonville State University,Baseball,Barstool Sports
7,Riddhi Singh,Stanford University,Rowing,Barstool Sports
8,Buck Brumlow,University of Georgia,Golf,Barstool Sports
9,Daniel Harper,University of Kentucky,Baseball,Barstool Sports
10,Justin Thorsteinson,Oregon State University,Baseball,Barstool Sports
11,Christiana Constantino,Sacred Heart University,Field Hockey,Barstool Sports
12,Preston Forst,Stanford University,Swimming and Diving,Barstool Sports
13,Klay Reeves,The Ohio State University,Wrestling,Barstool Sports
14,Kelly Quinn,Binghamton University,Lacrosse,Barstool Sports
15,Gabby Ciancio,Seton Hall University,Softball,Barstool Sports
16,Anthony Prokurat,Villanova University,Tennis,Barstool Sports
17,Allan Magid,Fairfield University,Tennis,Barstool Sports
18,Sarah Pintel,George Washington University,Volleyball,Barstool Sports
19,Maxwell Kachkarov,Davidson College,Tennis,Barstool Sports
0,Rachel Sorkenn,George Washington University,Soccer,Barstool Sports
1,Audra Tosone,University of Massachusetts Amherst,Lacrosse,Barstool Sports
2,PJ Hall,Clemson University,Basketball,Barstool Sports
3,Reid Bauer,University of Arkansas,Football,Barstool Sports
4,Jami Williams,Georgia Institute of Technology,Swimming and Diving,Barstool Sports
5,Eric Veit,University of Delaware,Swimming and Diving,Barstool Sports
6,Kathryn Vanderlinde,Mercer University,Lacrosse,Barstool Sports
7,David Bartkus,Sacred Heart University,Lacrosse,Barstool Sports
8,Seth Glausier,Georgia State University,Football,Barstool Sports
9,Claire Borman,Villanova University,Field Hockey,Barstool Sports
10,JaQuan Jackson,Oklahoma State UniversityâStillwater,Wrestling,Barstool Sports
11,Margo Carlin,Boston College,Field Hockey,Barstool Sports
12,Lindsay Schuster,Columbia University,Lacrosse,Barstool Sports
13,Alexa Skoubas,Iona College,Lacrosse,Barstool Sports
14,Reid Colwell,Villanova University,Lacrosse,Barstool Sports
15,Joseph Badalamenti,Virginia Tech,Track and Field,Barstool Sports
16,Louis Ragusa,Pace University,Lacrosse,Barstool Sports
17,Abbey Forbes,"University of California, Los Angeles",Tennis,Barstool Sports
18,John Blanchford,Indiana University,Lacrosse,Barstool Sports
19,Abby Gray,University of South Carolina,Swimming and Diving,Barstool Sports
0,Sydney Rusnock,Northeastern University,Field Hockey,Barstool Sports
1,Joseph Samson,East Carolina University,Football,Barstool Sports
2,Ashley Prange,University of Alabama,Softball,Barstool Sports
3,Riley Rumbley,Towson University,Soccer,Barstool Sports
